meta_id,meta_name,meta_owner,meta_visualization,prompt_context_dataset_name,query_type,has_service,limit,sparql_len,declared_prefix_count,prefix_count,exec_class,exec_error
62b327c30e997990799accd3,recommender-system,Stichting Koninklijk Nederlands Normalisatie Instituut (NEN),table,Catalog,SELECT,False,,1554,2,6,missing,
62b3287a0e997990799acdcb,related-standards,Stichting Koninklijk Nederlands Normalisatie Instituut (NEN),network,Catalog,CONSTRUCT,False,,247,1,6,missing,
62b328e60e997990799ace5d,word-counts,Stichting Koninklijk Nederlands Normalisatie Instituut (NEN),gchart,Catalog,SELECT,False,10.0,230,1,6,missing,
62b329645be4191ce3b65583,related-words,Stichting Koninklijk Nederlands Normalisatie Instituut (NEN),network,Catalog,CONSTRUCT,False,,267,1,6,missing,
62b338c30e997990799ae29d,voorzieningen-vergelijking,Centraal Bureau voor de Statistiek (CBS),gchart,Wijk- en Buurtkaart (WBK),SELECT,False,,837,4,10,missing,
62b3399c5be4191ce3b65f3e,bevolkingssamenstelling,Centraal Bureau voor de Statistiek (CBS),gchart,Wijk- en Buurtkaart (WBK),SELECT,False,,3786,5,10,missing,
62b33af20e997990799ae591,woningwaarde,Centraal Bureau voor de Statistiek (CBS),geo,Wijk- en Buurtkaart (WBK),SELECT,False,,1568,7,10,missing,
62b346430e997990799aee5d,reeele-energiebesparing,Centraal Bureau voor de Statistiek (CBS),geo,Energiebesparing,SELECT,True,,1087,5,1,missing,
62b346ec0e997990799aef2f,energiebesparing-fysische-maatregelen,Centraal Bureau voor de Statistiek (CBS),geo,Energiebesparing,SELECT,True,,1138,5,1,missing,
62b347680e997990799aefd4,energiebesparing-installatietechnisch,Centraal Bureau voor de Statistiek (CBS),geo,Energiebesparing,SELECT,True,,1157,5,1,missing,
62b34d0c5be4191ce3b66867,aantal-meldingen-per-gemeente,Data Science Team (DST),geo3d,Graafschades 2019,SELECT,False,,1440,5,1,missing,
62b34d7a5be4191ce3b668b5,schades-per-gemeente,Data Science Team (DST),geo,Graafschades 2019,SELECT,False,,237,2,1,missing,
62b34e185be4191ce3b6693e,graafschades-per-gemeente,Data Science Team (DST),gchart,Graafschades 2019,SELECT,False,,260,2,1,missing,
62b34e7d5be4191ce3b66997,graafschades-oorzaak-thema,Data Science Team (DST),pivot,Graafschades 2019,SELECT,False,,251,2,1,missing,
62b34ee60e997990799af82d,meldingen-per-weekdag,Data Science Team (DST),gchart,Graafschades 2019,SELECT,False,,692,4,1,missing,
62b34f580e997990799af8d6,meldingen-per-week,Data Science Team (DST),gchart,Graafschades 2019,SELECT,False,,351,3,1,missing,
62b34fe70e997990799af992,graafschade-melding-delay,Data Science Team (DST),gchart,Graafschades 2019,SELECT,False,,429,2,1,missing,
62b36c520e997990799b0d41,verkaufsbucher-transacties,hack-a-LOD,geo,Verkaufsbücher,SELECT,False,,296,4,1,missing,
62b36cc00e997990799b0d97,verkaufsbucher-transacties-detail,hack-a-LOD,geo,Verkaufsbücher,SELECT,False,,4163,11,1,missing,
62b36d610e997990799b0e01,verkaufsbucher-koper-verkoper,hack-a-LOD,geo,Verkaufsbücher,SELECT,False,,2650,8,1,missing,
62b36e9d5be4191ce3b67f0e,verkaufsbucher-totale-oppervlakte,hack-a-LOD,gallery,Verkaufsbücher,SELECT,False,,969,8,1,missing,
62b36f0f0e997990799b0fb8,verkaufsbucher-waarde,hack-a-LOD,gchart,Verkaufsbücher,SELECT,False,20.0,1193,6,1,missing,
62b36f7d5be4191ce3b6805f,verkaufsbucher-koper-verkoper-2,hack-a-LOD,geo,Verkaufsbücher,SELECT,False,,5725,13,1,missing,
62b374f65be4191ce3b6851a,hack-a-lod-2019-adressen,hack-a-LOD,geo,Hack-a-LOD 2019,SELECT,False,,769,5,1,missing,
62b375c50e997990799b13bd,hack-a-lod-tijdslijn,hack-a-LOD,timeline,Hack-a-LOD 2019,SELECT,False,,840,6,1,missing,
62b376615be4191ce3b686e5,hack-a-lod-kaart-zutphen,hack-a-LOD,geo,Hack-a-LOD 2019,SELECT,False,,1910,8,1,missing,
62b377985be4191ce3b68866,gallerij-zutphen,hack-a-LOD,gallery,Hack-a-LOD 2019,SELECT,False,,1758,8,1,missing,
62b4ca520e997990799b741c,praktijkhandleiding-pagina-type,Basisregistratie Adressen en Gebouwen (BAG),table,Praktijkhandleiding,SELECT,False,10.0,190,1,1,missing,
62b4cb025be4191ce3b6b833,praktijkhandleiding-zoeken-op-naam,Basisregistratie Adressen en Gebouwen (BAG),network,Praktijkhandleiding,CONSTRUCT,False,,104,1,1,missing,
62b4cb575be4191ce3b6b887,praktijkhandleiding-netwerk,Basisregistratie Adressen en Gebouwen (BAG),network,Praktijkhandleiding,CONSTRUCT,False,1000.0,115,1,1,missing,
62b4cbd05be4191ce3b6b8e5,praktijkhandleiding-kkg,Basisregistratie Adressen en Gebouwen (BAG),table,Unknown,SELECT,True,10.0,945,5,0,missing,
62b4cebf5be4191ce3b6b9cd,grootste-gemeenten,Basisregistratie Adressen en Gebouwen (BAG),gchart,Unknown,SELECT,False,15.0,1585,7,0,missing,
62b4cfeb5be4191ce3b6ba3b,grootste-gemeenten-kaart,Basisregistratie Adressen en Gebouwen (BAG),geo,Unknown,SELECT,False,30.0,2113,8,0,missing,
62b4d25c5be4191ce3b6bb33,gemeenten-dbpedia,Basisregistratie Adressen en Gebouwen (BAG),geo,Unknown,SELECT,True,25.0,1244,10,0,missing,
62b4d5df5be4191ce3b6bd25,winturbineparken,Basisregistratie Topografie (BRT),geo,Unknown,SELECT,True,,710,4,0,missing,
62b4d61e0e997990799b79c4,elektra-gas,Centraal Bureau voor de Statistiek (CBS),gchart,Wijk- en Buurtkaart (WBK),SELECT,False,,1596,4,10,missing,
62b4da755be4191ce3b6bf8b,aantal-bomen,Basisregistratie Grootschalige Topografie (BGT),gchart,Unknown,SELECT,False,20.0,353,2,0,missing,
62b832eb0fe5bf1b8a9b0180,rapportages,Basisregistratie Adressen en Gebouwen (BAG),gchart,Kwaliteit,SELECT,False,,248,2,5,missing,
